nohup: ignoring input
=== Stage 1: Energy-Only Training (v6.0) ===
Data: 2020-01-01 to 2023-12-31
Device: cuda
Total steps: 1000000
Max grad norm: 1.0
LR: actor=0.0003 critic=0.0003 ttfe=0.0003
τ_gumbel: 1.0 → 0.1
Enriched obs: TTFE=36-dim input, obs_dim=108, static_dim=32
Warming up for 1000 steps...
Step   26000/1000000 | ep=348 | critic=1.5154 | actor=-16.7479 | alpha=0.1463 | avg_reward=-35.4 | avg_raw_reward=-19.9 | avg_soc=7.65 | grad_c=11.678 [q1=7.1 q2=9.2] | grad_a=0.615 | grad_t=0.153 [proj=0.0 attn=0.2] | mode=[ch=29% dc=39% id=32%] | tau_g=0.977 | 23.3 steps/s | pct24h=0.58 z24h=0.06 da_rt=-0.0021
Step   27000/1000000 | ep=366 | critic=3.4984 | actor=-17.1376 | alpha=0.1405 | avg_reward=-37.6 | avg_raw_reward=0.1 | avg_soc=8.33 | grad_c=10.339 [q1=8.5 q2=5.9] | grad_a=0.484 | grad_t=0.138 [proj=0.1 attn=0.1] | mode=[ch=33% dc=35% id=33%] | tau_g=0.976 | 23.3 steps/s | pct24h=0.73 z24h=0.44 da_rt=0.0046
Step   28000/1000000 | ep=377 | critic=2.5457 | actor=-16.9980 | alpha=0.1389 | avg_reward=-40.7 | avg_raw_reward=3.1 | avg_soc=5.23 | grad_c=7.277 [q1=5.2 q2=5.0] | grad_a=0.691 | grad_t=0.055 [proj=0.0 attn=0.1] | mode=[ch=25% dc=31% id=44%] | tau_g=0.975 | 23.3 steps/s | pct24h=0.47 z24h=0.31 da_rt=0.0054
Step   29000/1000000 | ep=382 | critic=2.5851 | actor=-17.1013 | alpha=0.1348 | avg_reward=-2.2 | avg_raw_reward=200.8 | avg_soc=7.94 | grad_c=12.707 [q1=7.0 q2=10.6] | grad_a=0.505 | grad_t=0.090 [proj=0.0 attn=0.1] | mode=[ch=37% dc=44% id=20%] | tau_g=0.974 | 23.2 steps/s | pct24h=0.45 z24h=-0.14 da_rt=-0.0038
Step   30000/1000000 | ep=388 | critic=3.1754 | actor=-16.3380 | alpha=0.1360 | avg_reward=18.9 | avg_raw_reward=328.5 | avg_soc=8.16 | grad_c=11.573 [q1=5.0 q2=10.4] | grad_a=0.555 | grad_t=0.047 [proj=0.0 attn=0.0] | mode=[ch=35% dc=40% id=25%] | tau_g=0.973 | 23.2 steps/s | pct24h=0.47 z24h=0.14 da_rt=0.0003
Step   31000/1000000 | ep=397 | critic=1.9170 | actor=-15.9356 | alpha=0.1338 | avg_reward=-27.1 | avg_raw_reward=-0.7 | avg_soc=7.10 | grad_c=12.946 [q1=6.6 q2=11.1] | grad_a=0.567 | grad_t=0.054 [proj=0.0 attn=0.1] | mode=[ch=34% dc=38% id=28%] | tau_g=0.972 | 23.2 steps/s | pct24h=0.28 z24h=-0.40 da_rt=0.0034
Step   32000/1000000 | ep=413 | critic=1.0512 | actor=-18.4425 | alpha=0.1330 | avg_reward=-26.2 | avg_raw_reward=1325.9 | avg_soc=10.71 | grad_c=16.831 [q1=15.1 q2=7.5] | grad_a=0.628 | grad_t=0.065 [proj=0.0 attn=0.1] | mode=[ch=45% dc=32% id=23%] | tau_g=0.971 | 23.2 steps/s | pct24h=0.74 z24h=0.58 da_rt=0.1424
Step   33000/1000000 | ep=431 | critic=3.1524 | actor=-20.9480 | alpha=0.1460 | avg_reward=11.5 | avg_raw_reward=667.3 | avg_soc=7.79 | grad_c=16.292 [q1=12.3 q2=10.7] | grad_a=0.705 | grad_t=0.138 [proj=0.0 attn=0.1] | mode=[ch=48% dc=28% id=24%] | tau_g=0.970 | 23.1 steps/s | pct24h=0.52 z24h=0.20 da_rt=-0.0031
Step   34000/1000000 | ep=438 | critic=2.0020 | actor=-18.5494 | alpha=0.1476 | avg_reward=5.6 | avg_raw_reward=157.3 | avg_soc=8.24 | grad_c=7.028 [q1=5.6 q2=4.2] | grad_a=0.475 | grad_t=0.043 [proj=0.0 attn=0.0] | mode=[ch=35% dc=33% id=32%] | tau_g=0.969 | 23.1 steps/s | pct24h=0.53 z24h=0.38 da_rt=-0.0303
Step   35000/1000000 | ep=446 | critic=2.5511 | actor=-18.3883 | alpha=0.1524 | avg_reward=32.1 | avg_raw_reward=1039.5 | avg_soc=9.81 | grad_c=11.451 [q1=9.2 q2=6.8] | grad_a=0.437 | grad_t=0.055 [proj=0.0 attn=0.1] | mode=[ch=37% dc=32% id=31%] | tau_g=0.969 | 23.1 steps/s | pct24h=0.67 z24h=0.29 da_rt=-0.0060
Step   36000/1000000 | ep=454 | critic=2.9753 | actor=-19.0617 | alpha=0.1535 | avg_reward=20.7 | avg_raw_reward=740.2 | avg_soc=8.48 | grad_c=16.573 [q1=9.2 q2=13.8] | grad_a=0.422 | grad_t=0.087 [proj=0.0 attn=0.1] | mode=[ch=47% dc=41% id=12%] | tau_g=0.968 | 23.1 steps/s | pct24h=0.58 z24h=0.53 da_rt=0.0001
Step   37000/1000000 | ep=464 | critic=3.0153 | actor=-20.4543 | alpha=0.1581 | avg_reward=-18.8 | avg_raw_reward=436.8 | avg_soc=9.13 | grad_c=13.134 [q1=7.4 q2=10.8] | grad_a=0.773 | grad_t=0.168 [proj=0.0 attn=0.2] | mode=[ch=44% dc=40% id=16%] | tau_g=0.967 | 23.1 steps/s | pct24h=0.62 z24h=-0.10 da_rt=0.0006
Step   38000/1000000 | ep=477 | critic=1.3545 | actor=-21.2134 | alpha=0.1612 | avg_reward=31.9 | avg_raw_reward=2618.7 | avg_soc=8.04 | grad_c=16.898 [q1=13.2 q2=10.5] | grad_a=0.422 | grad_t=0.073 [proj=0.0 attn=0.1] | mode=[ch=42% dc=42% id=16%] | tau_g=0.966 | 23.0 steps/s | pct24h=0.83 z24h=0.66 da_rt=-0.0121
Step   39000/1000000 | ep=485 | critic=1.6637 | actor=-21.5422 | alpha=0.1694 | avg_reward=16.3 | avg_raw_reward=677.2 | avg_soc=8.38 | grad_c=22.118 [q1=16.0 q2=15.3] | grad_a=0.552 | grad_t=0.088 [proj=0.0 attn=0.1] | mode=[ch=42% dc=38% id=19%] | tau_g=0.965 | 23.1 steps/s | pct24h=0.31 z24h=-0.53 da_rt=0.0094
Step   40000/1000000 | ep=496 | critic=4.0337 | actor=-23.7100 | alpha=0.1656 | avg_reward=-3.4 | avg_raw_reward=727.4 | avg_soc=6.26 | grad_c=22.367 [q1=8.6 q2=20.6] | grad_a=0.435 | grad_t=0.109 [proj=0.0 attn=0.1] | mode=[ch=43% dc=38% id=20%] | tau_g=0.964 | 23.0 steps/s | pct24h=0.21 z24h=-0.47 da_rt=0.0038
Step   41000/1000000 | ep=508 | critic=3.2901 | actor=-21.5086 | alpha=0.1636 | avg_reward=-24.9 | avg_raw_reward=79.0 | avg_soc=5.27 | grad_c=9.049 [q1=6.5 q2=6.3] | grad_a=0.590 | grad_t=0.134 [proj=0.0 attn=0.1] | mode=[ch=30% dc=45% id=25%] | tau_g=0.963 | 23.1 steps/s | pct24h=0.40 z24h=-0.36 da_rt=0.0042
Step   42000/1000000 | ep=518 | critic=3.3856 | actor=-21.9887 | alpha=0.1689 | avg_reward=-7.0 | avg_raw_reward=280.4 | avg_soc=5.26 | grad_c=14.292 [q1=6.0 q2=13.0] | grad_a=0.505 | grad_t=0.092 [proj=0.0 attn=0.1] | mode=[ch=30% dc=36% id=34%] | tau_g=0.962 | 23.0 steps/s | pct24h=0.46 z24h=0.36 da_rt=0.0023
Step   43000/1000000 | ep=531 | critic=3.6209 | actor=-25.5367 | alpha=0.1647 | avg_reward=-26.8 | avg_raw_reward=-5.1 | avg_soc=6.71 | grad_c=15.047 [q1=10.8 q2=10.5] | grad_a=0.563 | grad_t=0.143 [proj=0.0 attn=0.1] | mode=[ch=29% dc=42% id=29%] | tau_g=0.961 | 23.0 steps/s | pct24h=0.46 z24h=-0.00 da_rt=0.0132
Step   44000/1000000 | ep=537 | critic=2.7207 | actor=-20.1728 | alpha=0.1653 | avg_reward=-22.7 | avg_raw_reward=0.9 | avg_soc=5.51 | grad_c=16.213 [q1=12.1 q2=10.8] | grad_a=0.436 | grad_t=0.092 [proj=0.0 attn=0.1] | mode=[ch=30% dc=40% id=30%] | tau_g=0.960 | 23.0 steps/s | pct24h=0.59 z24h=0.35 da_rt=-0.0026
